Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,frame,times,figure,contrast,gamma,sharpness,brightness,equalization
2,pictures\transformed\roomBright_figureDark\0.JPG,sharpness,0.3932834889658642,contrast,1.007425510539204,None,None,2,3_0_sharpness0.39_contrast1.0.jpg,900,3,0,1.0,0,0.39,0,0
11,pictures\transformed\roomBright_figureDark\S.JPG,sharpness,0.6727901594483298,contrast,0.9607769244260854,gamma,0.6146121054465195,2,12_S_sharpness0.67_contrast0.96_gamma0.61.jpg,3600,12,S,0.96,0.61,0.67,0,0
14,pictures\transformed\roomBright_figureDark\1.JPG,brightness,11.90775101194094,sharpness,0.3314691809427138,None,None,0,15_1_brightness12.0_sharpness0.33.jpg,4500,15,1,0,0,0.33,12.0,0
15,pictures\transformed\roomBright_figureDark\9.JPG,contrast,0.9259958811428726,sharpness,0.216616697279568,brightness,8.528286851004527,2,16_9_contrast0.93_sharpness0.22_brightness8.5.jpg,4800,16,9,0.93,0,0.22,8.5,0
21,pictures\transformed\roomBright_figureDark\7.JPG,brightness,20.39172550043434,contrast,0.9756627141061027,sharpness,0.5671983758108243,0,22_7_brightness20.0_contrast0.98_sharpness0.57.jpg,6600,22,7,0.98,0,0.57,20.0,0
22,pictures\transformed\roomBright_figureDark\7.JPG,gamma,0.857368727641564,brightness,29.00222958844456,None,None,2,23_7_gamma0.86_brightness29.0.jpg,6900,23,7,0,0.86,0,29.0,0
30,pictures\transformed\roomBright_figureDark\7.JPG,sharpness,0.6771725624941647,equalization,20.20971402396729,None,None,0,31_7_sharpness0.68_equalization20.0.jpg,9300,31,7,0,0,0.68,0,20.0
32,pictures\transformed\roomBright_figureDark\P.JPG,brightness,5.043377070738288,gamma,1.086716531508226,contrast,0.9293994436538995,1,33_P_brightness5.0_gamma1.1_contrast0.93.jpg,9900,33,P,0.93,1.1,0,5.0,0
34,pictures\transformed\roomBright_figureDark\3.JPG,sharpness,0.7566128067677663,brightness,16.25814752063146,None,None,2,35_3_sharpness0.76_brightness16.0.jpg,10500,35,3,0,0,0.76,16.0,0
41,pictures\transformed\roomBright_figureDark\P.JPG,sharpness,0.2072208500344215,equalization,6.194964115210452,None,None,2,42_P_sharpness0.21_equalization6.2.jpg,12600,42,P,0,0,0.21,0,6.2
47,pictures\transformed\roomBright_figureDark\B.JPG,sharpness,0.7435630412052541,contrast,1.091309199683399,gamma,0.7382664988979277,2,48_B_sharpness0.74_contrast1.1_gamma0.74.jpg,14400,48,B,1.1,0.74,0.74,0,0
